,numJuvs,input_slp,cal_slp,colFd,calTot,med_rnk,ass_tot,NumFdBtwn
0,200,0.2,0.001,0.2,0.19987500000004899,18.500000000002448,0.2,19
1,200,0.4,0.002,0.2,0.19968960000007252,13.160000000002562,0.2,14
2,200,0.6,0.003,0.2,0.1998442666667573,10.720000000002614,0.2,11
3,200,0.8,0.004,0.2,0.19990020000010592,9.260000000002645,0.2,10
4,200,1.0,0.005,0.2,0.19918400000011915,8.260000000002666,0.2,9
5,200,1.25,0.00625,0.2,0.1992187500001343,7.360000000002685,0.2,8
6,200,1.666667,0.008333334999999999,0.2,0.19964003854015658,6.3200000000027075,0.2,7
7,200,2.5,0.0125,0.2,0.19866000000019346,5.1000000000027335,0.2,6
8,200,5.0,0.025,0.2,0.19888000000027703,3.5000000000027565,0.19999999999999998,4
9,200,0.2,0.001,20.0,19.99600000000002,99.5000000000001,19.999500000000026,199
10,200,0.4,0.002,20.0,19.999366400000515,90.9200000000018,19.99944000000051,141
11,200,0.6,0.003,20.0,19.993833266667934,81.64000000000365,20.000800000001263,115
12,200,0.8,0.004,20.0,19.999500000002033,74.50000000000507,20.000000000002032,100
13,200,1.0,0.005,20.0,19.99815900000277,68.94000000000618,19.99830000000275,89
14,200,1.25,0.00625,20.0,19.99921875000354,63.500000000007084,20.000000000003528,80
15,200,1.666667,0.008333334999999999,20.0,19.9977876139605,56.780000000006034,19.99850261970347,69
16,200,2.5,0.0125,20.0,19.9923975000033,48.080000000004674,20.007000000003327,57
17,200,5.0,0.025,20.0,19.996875000002706,35.50000000000271,20.000000000002704,40
