<<<<<<< .mine
,numJuvs,input_slp,cal_slp,colFd,calTot,med_rnk
0,20.0,0.10000000000000001,2.0,20.0,20.75,18.999999999999808
1,20.0,0.20000000000000001,4.0,20.0,20.625,18.999999999999808
2,20.0,0.90000000000000002,18.0,20.0,20.527777777777779,18.999999999999808
3,20.0,0.5,10.0,20.0,20.550000000000001,18.999999999999808
4,40.0,0.10000000000000001,4.0,20.0,19.625,19.120000000000019
5,40.0,0.20000000000000001,8.0,20.0,19.5625,19.04000000000002
6,40.0,0.90000000000000002,36.0,20.0,19.513888888888889,19.000000000000021
7,40.0,0.5,20.0,20.0,19.524999999999999,19.000000000000021
8,100.0,0.10000000000000001,10.0,20.0,19.550000000000001,18.999999999999559
9,100.0,0.20000000000000001,20.0,20.0,19.524999999999999,18.999999999999559
10,100.0,0.90000000000000002,90.0,20.0,19.505555555555556,18.999999999999559
11,100.0,0.5,50.0,20.0,19.510000000000002,18.999999999999559
12,140.0,0.10000000000000001,14.0,20.0,19.535714285714285,19.039999999999793
13,140.0,0.20000000000000001,28.0,20.0,19.517857142857142,18.899999999999793
14,140.0,0.90000000000000002,126.0,20.0,19.503968253968253,18.899999999999793
15,140.0,0.5,70.0,20.0,19.507142857142856,18.899999999999793
16,30.0,0.10000000000000001,3.0,30.0,30.666666666666668,28.980000000000469
17,30.0,0.20000000000000001,6.0,30.0,30.583333333333332,28.980000000000469
18,30.0,0.90000000000000002,27.0,30.0,30.518518518518519,28.980000000000469
19,30.0,0.5,15.0,30.0,30.533333333333335,28.980000000000469
20,60.0,0.10000000000000001,6.0,30.0,29.583333333333332,29.04000000000002
21,60.0,0.20000000000000001,12.0,30.0,29.541666666666668,29.04000000000002
22,60.0,0.90000000000000002,54.0,30.0,29.50925925925926,28.980000000000022
23,60.0,0.5,30.0,30.0,29.516666666666666,28.980000000000022
24,150.0,0.10000000000000001,15.0,30.0,29.533333333333335,28.949999999999918
25,150.0,0.20000000000000001,30.0,30.0,29.516666666666666,28.949999999999918
26,150.0,0.90000000000000002,135.0,30.0,29.503703703703703,28.949999999999918
27,150.0,0.5,75.0,30.0,29.506666666666668,28.949999999999918
28,210.0,0.10000000000000001,21.0,30.0,29.523809523809526,28.980000000001077
29,210.0,0.20000000000000001,42.0,30.0,29.511904761904763,28.980000000001077
30,210.0,0.90000000000000002,189.0,30.0,29.502645502645503,28.980000000001077
31,210.0,0.5,105.0,30.0,29.504761904761907,28.980000000001077
32,40.0,0.10000000000000001,4.0,40.0,40.625,38.999999999999595
33,40.0,0.20000000000000001,8.0,40.0,40.5625,38.999999999999595
34,40.0,0.90000000000000002,36.0,40.0,40.513888888888886,38.999999999999595
35,40.0,0.5,20.0,40.0,40.524999999999999,38.999999999999595
36,80.0,0.10000000000000001,8.0,40.0,39.5625,39.04000000000002
37,80.0,0.20000000000000001,16.0,40.0,39.53125,38.960000000000022
38,80.0,0.90000000000000002,72.0,40.0,39.506944444444443,38.960000000000022
39,80.0,0.5,40.0,40.0,39.512500000000003,38.960000000000022
40,200.0,0.10000000000000001,20.0,40.0,39.524999999999999,38.999999999999133
41,200.0,0.20000000000000001,40.0,40.0,39.512500000000003,38.999999999999133
42,200.0,0.90000000000000002,180.0,40.0,39.50277777777778,38.999999999999133
43,200.0,0.5,100.0,40.0,39.505000000000003,38.999999999999133
44,280.0,0.10000000000000001,28.0,40.0,39.517857142857146,38.91999999999959
45,280.0,0.20000000000000001,56.0,40.0,39.508928571428569,38.91999999999959
46,280.0,0.90000000000000002,252.0,40.0,39.501984126984127,38.91999999999959
47,280.0,0.5,140.0,40.0,39.503571428571426,38.91999999999959
48,50.0,0.10000000000000001,5.0,50.0,50.600000000000001,48.999999999999133
49,50.0,0.20000000000000001,10.0,50.0,50.549999999999997,48.999999999999133
50,50.0,0.90000000000000002,45.0,50.0,50.511111111111113,48.999999999999133
51,50.0,0.5,25.0,50.0,50.520000000000003,48.999999999999133
52,100.0,0.10000000000000001,10.0,50.0,49.549999999999997,48.999999999999986
53,100.0,0.20000000000000001,20.0,50.0,49.524999999999999,48.999999999999986
54,100.0,0.90000000000000002,90.0,50.0,49.505555555555553,48.999999999999986
55,100.0,0.5,50.0,50.0,49.509999999999998,48.999999999999986
56,250.0,0.10000000000000001,25.0,50.0,49.520000000000003,49.0
57,250.0,0.20000000000000001,50.0,50.0,49.509999999999998,49.0
58,250.0,0.90000000000000002,225.0,50.0,49.502222222222223,49.0
59,250.0,0.5,125.0,50.0,49.503999999999998,49.0
60,350.0,0.10000000000000001,35.0,50.0,49.514285714285712,49.000000000001741
61,350.0,0.20000000000000001,70.0,50.0,49.50714285714286,49.000000000001741
62,350.0,0.90000000000000002,315.0,50.0,49.5015873015873,49.000000000001741
63,350.0,0.5,175.0,50.0,49.502857142857145,49.000000000001741
64,500.0,0.10000000000000001,50.0,500.0,500.50999999999999,498.5
65,500.0,0.20000000000000001,100.0,500.0,500.505,498.5
66,500.0,0.90000000000000002,450.0,500.0,500.50111111111113,498.5
67,500.0,0.5,250.0,500.0,500.50200000000001,498.5
68,1000.0,0.10000000000000001,100.0,500.0,499.505,499.0
69,1000.0,0.20000000000000001,200.0,500.0,499.5025,499.0
70,1000.0,0.90000000000000002,900.0,500.0,499.50055555555554,499.0
71,1000.0,0.5,500.0,500.0,499.50099999999998,499.0
72,2500.0,0.10000000000000001,250.0,500.0,498.50200000000001,500.0
73,2500.0,0.20000000000000001,500.0,500.0,498.50099999999998,500.0
74,2500.0,0.90000000000000002,2250.0,500.0,498.50022222222225,500.0
