pop_age,Comp_slope,num cols,meanK,Fd_ln,input_var,K_var,fdLn_var,disp_rsk,ad_dsp_fd,jv_mlt_size,min_no_off,max_no_off,min_ad_sze_off,max_ad_sze_off,colony_ID,colony_age,num ads,numjuvs,colony_food,ave_food,dispersers,pot_juv_fd,cal_med_rnk,colAlive
1,0.6,1,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,1,1,1,3,0.72554549474631735,0.24184849824877244,0,0.26666666666666666,0.999000000000018,alive
2,0.6,1,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,1,2,2,8,1.9273236316164912,0.2409154539520614,0,0.24240873715854974,3.4719999999999995,alive
3,0.6,1,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,1,3,6,23,10.20101814456455,0.44352252802454567,0,0.43535945043791396,10.994000000000007,alive
4,0.6,3,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,1,4,18,80,20.72727824419799,0.25909097805247489,2,0.061258302521294175,39.280000000000015,alive
4,0.6,3,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,2,0,1,6,0.83106022668536317,0.13851003778089385,0,0,2.220000000000028,alive
4,0.6,3,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,3,0,1,6,0.72726900642566017,0.12121150107094336,0,0,2.136000000000031,alive
5,0.6,5,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,1,5,61,244,4.2719408046774145e-13,1.7507954117530387e-15,0,8.3305594939559489e-14,39.280000000000015,dead
5,0.6,5,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,2,1,3,11,3.4108716214361054,0.31007923831237322,0,0.3133498016850973,5.004999999999995,alive
5,0.6,5,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,3,1,3,9,3.4828487619620647,0.38698319577356277,0,0.38298309094845223,3.9959999999999813,alive
5,0.6,5,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,4,0,1,6,0.79484156922949778,0.13247359487158297,0,0,2.196000000000029,alive
5,0.6,5,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,5,0,1,6,0.82908643187990572,0.13818107197998428,0,0,2.220000000000028,alive
6,0.6,6,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,2,2,9,39,17.994962546562803,0.4614092960657129,0,0.45634685143684339,18.99299999999998,alive
6,0.6,6,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,3,2,9,40,17.922232094508949,0.44805580236272374,0,0.44493818015092235,19.48000000000001,alive
6,0.6,6,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,4,1,3,10,3.4650767395959488,0.34650767395959486,0,0.34468478185360701,4.500000000000011,alive
6,0.6,6,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,5,1,3,11,3.2375803414794433,0.29432548558904031,0,0.3133498016850973,5.004999999999995,alive
6,0.6,6,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,6,0,1,6,0.83657708448919887,0.13942951408153315,0,0,2.226000000000028,alive
6,0.6,6,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,7,0,1,6,0.81158927117259494,0.13526487852876581,0,0,2.2080000000000286,alive
7,0.6,22,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,2,3,29,129,0.97462010198505178,0.007555194589031409,6,2.9998204350746478e-05,18.318000000000392,dead
7,0.6,22,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,3,3,30,131,0.61003149741060092,0.0046567289878671828,8,1.5621855098055963e-05,14.802999999999912,dead
7,0.6,22,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,4,2,9,39,17.635361307726626,0.4521887514801699,0,0.45634685143684339,18.99299999999998,alive
7,0.6,22,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,5,2,9,37,17.89981408061492,0.4837787589355384,0,0.48101424881180793,17.982000000000014,alive
7,0.6,22,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,6,1,3,11,3.3002228159283602,0.30002025599348731,0,0.3133498016850973,5.004999999999995,alive
7,0.6,22,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,7,1,3,11,3.341215004383971,0.30374681858036101,0,0.3133498016850973,5.004999999999995,alive
7,0.6,22,10.0,0.4,0.1,0.5,0.020000000000000004,0.4,0.6,0.16000000000000003,2,8,0.1,1,8,0,1,6,0.81255910413083876,0.1354265173551398,0,0,2.2080000000000286,alive
