fileName,Date,numGens,notes
slp10_Rsk0.1_K100_var0_rn188,07/05/2015,,not sent
slp10_Rsk0.1_K100_var0.2_rn189,07/05/2015,,not sent
slp10_Rsk0.1_K100_var0.4_rn190,07/05/2015,,not sent
slp10_Rsk0.1_K100_var0.6_rn191,07/05/2015,,not sent
slp10_Rsk0.1_K1000_var0_rn192,07/05/2015,,not sent
slp10_Rsk0.1_K1000_var0.2_rn193,07/05/2015,,not sent
slp10_Rsk0.1_K1000_var0.4_rn194,07/05/2015,,not sent
slp10_Rsk0.1_K1000_var0.6_rn195,07/05/2015,,not sent
slp0_Rsk0.1_K100_var0_rn196,07/05/2015,,
slp0_Rsk0.1_K100_var0.2_rn197,07/05/2015,,
slp0_Rsk0.1_K100_var0.4_rn198,07/05/2015,,
slp0_Rsk0.1_K100_var0.6_rn199,07/05/2015,,
slp0_Rsk0.1_K1000_var0_rn200,07/05/2015,,
slp0_Rsk0.1_K1000_var0.2_rn201,07/05/2015,,
slp0_Rsk0.1_K1000_var0.4_rn202,07/05/2015,,
slp0_Rsk0.1_K1000_var0.6_rn203,07/05/2015,,
slp0.8_Rsk0.1_K100_var0_rn204,07/05/2015,,
slp0.8_Rsk0.1_K100_var0.2_rn205,07/05/2015,,
slp0.8_Rsk0.1_K100_var0.4_rn206,07/05/2015,,
slp0.8_Rsk0.1_K100_var0.6_rn207,07/05/2015,,
slp0.8_Rsk0.1_K1000_var0_rn208,07/05/2015,,
slp0.8_Rsk0.1_K1000_var0.2_rn209,07/05/2015,,
slp0.8_Rsk0.1_K1000_var0.4_rn210,07/05/2015,,
slp0.8_Rsk0.1_K1000_var0.6_rn211,07/05/2015,,
slp2.5_Rsk0.1_K100_var0_rn212,07/05/2015,,
slp2.5_Rsk0.1_K100_var0.2_rn213,07/05/2015,,
slp2.5_Rsk0.1_K100_var0.4_rn214,07/05/2015,,
slp2.5_Rsk0.1_K100_var0.6_rn215,07/05/2015,,
slp2.5_Rsk0.1_K1000_var0_rn216,07/05/2015,,
slp2.5_Rsk0.1_K1000_var0.2_rn217,07/05/2015,,
slp2.5_Rsk0.1_K1000_var0.4_rn218,07/05/2015,,
slp2.5_Rsk0.1_K1000_var0.6_rn219,07/05/2015,,
slp10_Rsk0.1_K100_var0_rn220,07/05/2015,,
slp10_Rsk0.1_K100_var0.2_rn221,07/05/2015,,
slp10_Rsk0.1_K100_var0.4_rn222,07/05/2015,,
slp10_Rsk0.1_K100_var0.6_rn223,07/05/2015,,
slp10_Rsk0.1_K1000_var0_rn224,07/05/2015,,
slp10_Rsk0.1_K1000_var0.2_rn225,07/05/2015,,
slp10_Rsk0.1_K1000_var0.4_rn226,07/05/2015,,
slp10_Rsk0.1_K1000_var0.6_rn227,07/05/2015,,
slp0_Rsk0.1_K100_var0_rn228,07/05/2015,,
slp0_Rsk0.1_K100_var0.2_rn229,07/05/2015,,
slp0_Rsk0.1_K100_var0.4_rn230,07/05/2015,,
slp0_Rsk0.1_K100_var0.6_rn231,07/05/2015,,
slp0_Rsk0.1_K1000_var0_rn232,07/05/2015,,
slp0_Rsk0.1_K1000_var0.2_rn233,07/05/2015,,
slp0_Rsk0.1_K1000_var0.4_rn234,07/05/2015,,
slp0_Rsk0.1_K1000_var0.6_rn235,07/05/2015,,
slp0.8_Rsk0.1_K100_var0_rn236,07/05/2015,,
slp0.8_Rsk0.1_K100_var0.2_rn237,07/05/2015,,
slp0.8_Rsk0.1_K100_var0.4_rn238,07/05/2015,,
slp0.8_Rsk0.1_K100_var0.6_rn239,07/05/2015,,
slp0.8_Rsk0.1_K1000_var0_rn240,07/05/2015,,
slp0.8_Rsk0.1_K1000_var0.2_rn241,07/05/2015,,
slp0.8_Rsk0.1_K1000_var0.4_rn242,07/05/2015,,
slp0.8_Rsk0.1_K1000_var0.6_rn243,07/05/2015,,
slp2.5_Rsk0.1_K100_var0_rn244,07/05/2015,,
slp2.5_Rsk0.1_K100_var0.2_rn245,07/05/2015,,
slp2.5_Rsk0.1_K100_var0.4_rn246,07/05/2015,,
slp2.5_Rsk0.1_K100_var0.6_rn247,07/05/2015,,
slp2.5_Rsk0.1_K1000_var0_rn248,07/05/2015,,
slp2.5_Rsk0.1_K1000_var0.2_rn249,07/05/2015,,
slp2.5_Rsk0.1_K1000_var0.4_rn250,07/05/2015,,
slp2.5_Rsk0.1_K1000_var0.6_rn251,07/05/2015,,
slp10_Rsk0.1_K100_var0_rn252,07/05/2015,,
slp10_Rsk0.1_K100_var0.2_rn253,07/05/2015,,
slp10_Rsk0.1_K100_var0.4_rn254,07/05/2015,,
slp10_Rsk0.1_K100_var0.6_rn255,07/05/2015,,
slp10_Rsk0.1_K1000_var0_rn256,07/05/2015,,
slp10_Rsk0.1_K1000_var0.2_rn257,07/05/2015,,
slp10_Rsk0.1_K1000_var0.4_rn258,07/05/2015,,
slp10_Rsk0.1_K1000_var0.6_rn259,07/05/2015,,
slp0_Rsk0.05_K1000_var0_rn260,20/05/2015,,
slp0.8_Rsk0.05_K1000_var0_rn261,20/05/2015,,
slp2.5_Rsk0.05_K1000_var0_rn262,20/05/2015,,
slp10_Rsk0.05_K1000_var0_rn263,20/05/2015,,
slp0_Rsk0.05_K1000_var0_rn260,20/05/2015,,
slp0.8_Rsk0.05_K1000_var0_rn261,20/05/2015,,
slp2.5_Rsk0.05_K1000_var0_rn262,20/05/2015,,
slp10_Rsk0.05_K1000_var0_rn263,20/05/2015,,
slp0_Rsk0.05_K1000_var0_rn260,20/05/2015,,
slp0.8_Rsk0.05_K1000_var0_rn261,20/05/2015,,
slp2.5_Rsk0.05_K1000_var0_rn262,20/05/2015,,
slp10_Rsk0.05_K1000_var0_rn263,20/05/2015,,
slp0_Rsk0.05_K100_var0_rn264,20/05/2015,,
slp0.8_Rsk0.05_K100_var0_rn265,20/05/2015,,
slp2.5_Rsk0.05_K100_var0_rn266,20/05/2015,,
slp10_Rsk0.05_K100_var0_rn267,20/05/2015,,
slp0_Rsk0.05_K100_var0_rn268,22/05/2015,,
slp0.8_Rsk0.05_K100_var0_rn269,22/05/2015,,
slp2.5_Rsk0.05_K100_var0_rn270,22/05/2015,,
slp10_Rsk0.05_K100_var0_rn271,22/05/2015,,
slp0_Rsk0.05_K100_var0_rn272,28/05/2015,,not run
slp0.8_Rsk0.05_K100_var0_rn273,28/05/2015,,not run
slp2.5_Rsk0.05_K100_var0_rn274,28/05/2015,,not run
slp10_Rsk0.05_K100_var0_rn275,28/05/2015,,not run
slp0_Rsk0.05_K100_var0_rn276,28/05/2015,,adDisLmt = 0.4
slp0.8_Rsk0.05_K100_var0_rn277,28/05/2015,,adDisLmt = 0.4
slp2.5_Rsk0.05_K100_var0_rn278,28/05/2015,,adDisLmt = 0.4
slp10_Rsk0.05_K100_var0_rn279,28/05/2015,,adDisLmt = 0.4
slp0_Rsk0.05_K100_var0_rn280,28/05/2015,,adDisLmt = 0.6
slp0.8_Rsk0.05_K100_var0_rn281,28/05/2015,,adDisLmt = 0.6
slp2.5_Rsk0.05_K100_var0_rn282,28/05/2015,,adDisLmt = 0.6
slp10_Rsk0.05_K100_var0_rn283,28/05/2015,,adDisLmt = 0.6
slp0_Rsk0.05_K100_var0_rn284,28/05/2015,,adDisLmt = 0.8
slp0.8_Rsk0.05_K100_var0_rn285,28/05/2015,,adDisLmt = 0.8
slp2.5_Rsk0.05_K100_var0_rn286,28/05/2015,,adDisLmt = 0.8
slp10_Rsk0.05_K100_var0_rn287,28/05/2015,,adDisLmt = 0.8
slp0_Rsk0.05_K100_var0.1_rn287,08/06/2015,,
slp0_Rsk0.05_K100_var0.2_rn288,08/06/2015,,
slp0.8_Rsk0.05_K100_var0.1_rn289,08/06/2015,,
slp0.8_Rsk0.05_K100_var0.2_rn290,08/06/2015,,
slp2.5_Rsk0.05_K100_var0.1_rn291,08/06/2015,,
slp2.5_Rsk0.05_K100_var0.2_rn292,08/06/2015,,
slp10_Rsk0.05_K100_var0.1_rn293,08/06/2015,,
slp10_Rsk0.05_K100_var0.2_rn294,08/06/2015,,
slp0_Rsk0.05_K1000_var0.0_rn295,08/06/2015,,
slp0.8_Rsk0.05_K1000_var0.0_rn296,08/06/2015,,
slp2.5_Rsk0.05_K1000_var0.0_rn297,08/06/2015,,
slp10_Rsk0.05_K1000_var0.0_rn298,08/06/2015,,
slp0.8_Rsk0.05_K10_var0.0_rn299,18/06/2015,,
slp0.8_Rsk0.05_K100_var0.0_rn300,18/06/2015,,
slp0.8_Rsk0.05_K1000_var0.0_rn301,18/06/2015,,
slp0.8_Rsk0.05_K100_var0.0_rn302,19/06/2015,,
slp0.8_Rsk0.05_K1000_var0.0_rn303,19/06/2015,,
slp0.8_Rsk0.05_K100_var0.0_rn304,22/06/2015,,
slp0.8_Rsk0.05_K100_var0.1_rn305,22/06/2015,,
slp1.66_Rsk0.05_K100_var0.0_rn306,22/06/2015,,
slp1.66_Rsk0.05_K100_var0.1_rn307,22/06/2015,,
,,,
,,,
