type,col_age,col_id,rank,die,food,disperse,no_off
Ad,4,1,10,0,0.4694529628071545,0,5
Ad,4,1,11,0,0.4433660062854154,0,5
Ad,4,1,12,0,0.4172790497636763,0,5
Ad,4,1,13,0,0.3911920932419371,0,5
Ad,4,1,14,0,0.365105136720198,0,4
Ad,4,1,15,0,0.3390181801984589,0,4
Ad,4,1,16,0,0.31293122367671977,0,4
Ad,4,1,17,0,0.2868442671549806,0,4
Ad,4,1,18,0,0.2607573106332415,0,4
Ad,4,1,19,0,0.2346703541115024,0,3
Ad,4,1,20,0,0.20858339758976321,0,3
Ad,4,1,21,0,0.1824964410680242,0,3
Ad,4,1,22,0,0.15640948454628498,0,3
juv,0,2,0,0,0.36051003778089669,NA,NA
juv,0,2,1,0,0.26051003778089665,NA,NA
juv,0,2,2,0,0.16051003778089667,NA,NA
juv,0,2,3,0,0.060510037780896711,NA,NA
juv,0,2,4,0,0,NA,NA
juv,0,2,5,0,0,NA,NA
Ad,0,2,1,0,0.7042355715028067,1,6
juv,0,3,0,0,0.33481150107094648,NA,NA
juv,0,3,1,0,0.23481150107094645,NA,NA
juv,0,3,2,0,0.13481150107094647,NA,NA
juv,0,3,3,0,0.0348115010709465,NA,NA
juv,0,3,4,0,0,NA,NA
juv,0,3,5,0,0,NA,NA
Ad,0,3,3,0,0.6520616584593284,1,6
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
