poplt_age,comp_type,num cols,colony_ID,colony_age,number_spiders,min_size,max_size,min_age,max_age,colony_food
1,1,1,1,1,1,0.90081672755691911,0.90081672755691911,1,1,0.016401620963402211
2,1,2,1,2,3,0.90162678467481583,0.1,2,0,0.016401620963402211
2,1,2,2,1,1,0.90243022583300392,0.90243022583300392,3,3,0.016401620963402211
3,1,3,1,3,3,0.90480139169001383,0.099999999999999978,4,1,0.016401620963402211
3,1,3,2,2,1,0.90557890495788496,0.90557890495788496,5,5,0.016401620963402211
3,1,3,3,1,1,0.90635006806063867,0.90635006806063867,6,6,0.016401620963402211
4,1,4,1,4,3,0.90862597289921965,0.099999999999999978,7,2,0.016401620963402211
4,1,4,2,3,1,0.90937224975841846,0.90937224975841846,8,8,0.016401620963402211
4,1,4,3,2,1,0.91011243156885724,0.91011243156885724,9,9,0.016401620963402211
4,1,4,4,1,1,0.91084656811047882,0.91084656811047882,10,10,0.016401620963402211
5,1,5,1,5,3,0.91301319784326751,0.099999999999999978,11,3,0.016401620963402211
5,1,5,2,4,1,0.9137236430273642,0.9137236430273642,12,12,0.016401620963402211
5,1,5,3,3,1,0.91442828580986557,0.91442828580986557,13,13,0.016401620963402211
5,1,5,4,2,1,0.91512717358058437,0.91512717358058437,14,14,0.016401620963402211
5,1,5,5,1,1,0.91582035334228784,0.91582035334228784,15,15,0.016401620963402211
6,1,6,1,6,3,0.917866108861495,0.099999999999999978,16,4,0.016401620963402211
6,1,6,2,5,1,0.91853691898399303,0.91853691898399303,17,17,0.016401620963402211
6,1,6,3,4,1,0.91920225041536607,0.91920225041536607,18,18,0.016401620963402211
6,1,6,4,3,1,0.91986214790159426,0.91986214790159426,19,19,0.016401620963402211
6,1,6,5,2,1,0.92051665582320497,0.92051665582320497,20,20,0.016401620963402211
6,1,6,6,1,1,0.92116581819825771,0.92116581819825771,21,21,0.016401620963402211
7,1,7,1,7,3,0.92308166684964088,0.099999999999999978,22,5,0.016401620963402211
7,1,7,2,6,1,0.92370988007280264,0.92370988007280264,23,23,0.016401620963402211
7,1,7,3,5,1,0.9243329625054546,0.9243329625054546,24,24,0.016401620963402211
7,1,7,4,4,1,0.92495095605217681,0.92495095605217681,25,25,0.016401620963402211
7,1,7,5,3,1,0.92556390227530294,0.92556390227530294,26,26,0.016401620963402211
7,1,7,6,2,1,0.92617184239771577,0.92617184239771577,27,27,0.016401620963402211
7,1,7,7,1,1,0.92677481730561928,0.92677481730561928,28,28,0.016401620963402211
8,1,8,1,8,3,0.92855435461172242,0.099999999999999978,29,6,0.016401620963402211
8,1,8,2,7,1,0.92913787088582711,0.92913787088582711,30,30,0.016401620963402211
8,1,8,3,6,1,0.92971662142172207,0.92971662142172207,31,31,0.016401620963402211
8,1,8,4,5,1,0.93029064514250459,0.93029064514250459,32,32,0.016401620963402211
8,1,8,5,4,1,0.93085998065337627,0.93085998065337627,33,33,0.016401620963402211
8,1,8,6,3,1,0.93142466624423936,0.93142466624423936,34,34,0.016401620963402211
8,1,8,7,2,1,0.93198473989227182,0.93198473989227182,35,35,0.016401620963402211
8,1,8,8,1,1,0.93254023926448182,0.93254023926448182,36,36,0.016401620963402211
9,1,9,1,9,3,0.93417966379675899,0.099999999999999978,37,7,0.016401620963402211
9,1,9,2,8,1,0.93471723662058759,0.93471723662058759,38,38,0.016401620963402211
9,1,9,3,7,1,0.9352504189390255,0.9352504189390255,39,39,0.016401620963402211
9,1,9,4,6,1,0.93577924661054013,0.93577924661054013,40,40,0.016401620963402211
9,1,9,5,5,1,0.93630375520073283,0.93630375520073283,41,41,0.016401620963402211
9,1,9,6,4,1,0.9368239799847311,0.9368239799847311,42,42,0.016401620963402211
9,1,9,7,3,1,0.93733995594956054,0.93733995594956054,43,43,0.016401620963402211
9,1,9,8,2,1,0.93785171779649812,0.93785171779649812,44,44,0.016401620963402211
9,1,9,9,1,1,0.93835929994340594,0.93835929994340594,45,45,0.016401620963402211
10,1,10,1,10,3,0.93985730815982571,0.099999999999999978,46,8,0.016401620963402211
10,1,10,2,9,1,0.94034851009755738,0.94034851009755738,47,47,0.016401620963402211
10,1,10,3,8,1,0.94083570025370344,0.94083570025370344,48,48,0.016401620963402211
10,1,10,4,7,1,0.94131891139358959,0.94131891139358959,49,49,0.016401620963402211
10,1,10,5,6,1,0.9417981760149382,0.9417981760149382,50,50,0.016401620963402211
10,1,10,6,5,1,0.94227352635005368,0.94227352635005368,51,51,0.016401620963402211
10,1,10,7,4,1,0.94274499436799042,0.94274499436799042,52,52,0.016401620963402211
10,1,10,8,3,1,0.94321261177670257,0.94321261177670257,53,53,0.016401620963402211
10,1,10,9,2,1,0.94367641002517688,0.94367641002517688,54,54,0.016401620963402211
10,1,10,10,1,1,0.94413642030554734,0.94413642030554734,55,55,0.016401620963402211
