pop_age,colony_ID,num_adsB4_dispersal,dispersers,col_space
1,1,1,0,1.0
1,2,22,0,2.0
1,3,44,0,3.0
1,4,66,0,4.0
1,5,88,0,5.0
1,6,110,0,6.0
1,7,132,0,7.0
1,8,154,0,8.0
1,9,176,0,9.0
1,10,198,0,10.0
1,11,220,0,11.0
1,12,242,0,12.0
1,13,264,0,13.0
1,14,286,0,14.0
1,15,308,0,15.0
1,16,330,0,16.0
1,17,352,0,17.0
1,18,374,0,18.0
1,19,396,0,19.0
1,20,418,0,20.0
1,21,440,0,21.0
1,22,462,0,22.0
1,23,484,0,23.0
1,24,506,0,24.0
1,25,528,0,25.0
1,26,550,0,26.0
1,27,572,0,27.0
1,28,594,0,28.0
1,29,616,0,29.0
1,30,638,0,30.0
1,31,660,0,31.0
1,32,682,0,32.0
1,33,704,0,33.0
1,34,726,0,34.0
1,35,748,0,35.0
1,36,770,0,36.0
1,37,792,0,37.0
1,38,814,0,38.0
1,39,836,0,39.0
1,40,858,0,40.0
1,41,880,0,41.0
1,42,902,0,42.0
2,2,66,0,2.0
2,3,132,0,3.0
2,4,198,0,4.0
2,5,264,0,5.0
2,6,330,0,6.0
2,7,396,0,7.0
2,8,462,0,8.0
2,9,528,0,9.0
2,10,594,0,10.0
2,11,660,0,11.0
2,12,726,0,12.0
2,13,792,0,13.0
2,14,858,0,14.0
2,15,924,0,15.0
2,16,990,0,16.0
2,17,1056,1056,17.0
2,18,1122,1122,18.0
2,19,1188,1188,19.0
2,20,1254,1254,20.0
2,21,1320,1320,21.0
2,22,1386,1386,22.0
2,23,1452,1452,23.0
2,24,1518,1518,24.0
2,25,1584,1584,25.0
2,26,1650,1650,26.0
2,27,1716,1716,27.0
2,28,1782,1782,28.0
2,43,1,0,1.0
2,44,1,0,29.0
2,45,1,0,30.0
2,46,1,0,31.0
2,47,1,0,32.0
2,48,1,0,33.0
2,49,1,0,34.0
2,50,1,0,35.0
2,51,1,0,36.0
2,52,1,0,37.0
2,53,1,0,38.0
2,54,1,0,39.0
2,55,1,0,40.0
2,56,1,0,41.0
2,57,1,0,42.0
2,58,1,0,43.0
2,59,1,0,44.0
2,60,1,0,45.0
2,61,1,0,46.0
2,62,1,0,47.0
2,63,1,0,48.0
2,64,1,0,49.0
2,65,1,0,50.0
2,66,1,0,51.0
2,67,1,0,52.0
2,68,1,0,53.0
2,69,1,0,54.0
2,70,1,0,55.0
2,71,1,0,56.0
2,72,1,0,57.0
2,73,1,0,58.0
2,74,1,0,59.0
2,75,1,0,60.0
2,76,1,0,61.0
2,77,1,0,62.0
2,78,1,0,63.0
2,79,1,0,64.0
2,80,1,0,65.0
2,81,1,0,66.0
2,82,1,0,67.0
2,83,1,0,68.0
2,84,1,0,69.0
2,85,1,0,70.0
2,86,1,0,71.0
2,87,1,0,72.0
2,88,1,0,73.0
2,89,1,0,74.0
2,90,1,0,75.0
2,91,1,0,76.0
2,92,1,0,77.0
2,93,1,0,78.0
2,94,1,0,79.0
2,95,1,0,80.0
2,96,1,0,81.0
2,97,1,0,82.0
2,98,1,0,83.0
