pop_age,comp_type,Comp_slope,num_cols,meanK,Fd_ln,input_var,disp_rsk,ad_dsp_fd,min_juv_fd,min_no_off,max_no_off,min_ad_sze_off,max_ad_sze_off,juv_fd_lmt_disp,colony_ID,colony_age,num_adsB4_dispersal,num_ads,numjuvs,col_fd_B4_rnd,colony_food,ave_food,dispersers,pot_col_num_juvs,pot_juv_fd,cal_med_rnk,colAlive,num_juvs_moulting,new_col?,adSz_B4_min,adSz_B4_max,adSz_B4_mean,adSz_B4_SD,adSz_B4_ct,adSz_AF_min,adSz_AF_max,adSz_AF_mean,adSz_AF_SD,adSz_AF_ct,jvSz_B4_min,jvSz_B4_max,jvSz_B4_mean,jvSz_B4_SD,jvSz_B4_ct,jvSz_AF_min,jvSz_AF_max,jvSz_AF_mean,jvSz_AF_SD,jvSz_AF_ct
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,1,1,1,1,6,1.22,1.22,0.203333333333,0,6,0.203333333333,2.16618,alive,3,No,0.8,0.8,0.8,0.0,1,NA,NA,NA,NA,NA,0,0.549922133333,0.203333333333,0.2089,6,0.229922133333,0.549922133333,0.389922133333,0.1306,3
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,2,1,1,1,6,1.22,1.22,0.203333333333,0,6,0.203333333333,2.16618,alive,3,No,0.8,0.8,0.8,0.0,1,NA,NA,NA,NA,NA,0,0.549922133333,0.203333333333,0.2089,6,0.229922133333,0.549922133333,0.389922133333,0.1306,3
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,3,1,1,1,6,1.22,1.22,0.203333333333,0,6,0.203333333333,2.16618,alive,3,No,0.8,0.8,0.8,0.0,1,NA,NA,NA,NA,NA,0,0.549922133333,0.203333333333,0.2089,6,0.229922133333,0.549922133333,0.389922133333,0.1306,3
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,4,1,1,1,6,1.22,1.22,0.203333333333,0,6,0.203333333333,2.16618,alive,3,No,0.8,0.8,0.8,0.0,1,NA,NA,NA,NA,NA,0,0.549922133333,0.203333333333,0.2089,6,0.229922133333,0.549922133333,0.389922133333,0.1306,3
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,5,1,1,1,6,1.22,1.22,0.203333333333,0,6,0.203333333333,2.16618,alive,3,No,0.8,0.8,0.8,0.0,1,NA,NA,NA,NA,NA,0,0.549922133333,0.203333333333,0.2089,6,0.229922133333,0.549922133333,0.389922133333,0.1306,3
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,6,1,10,10,60,12.5628629078,12.5628629078,0.209381048463,0,60,0.209381048463,27.108,alive,28,No,0.8,0.8,0.8,0.0,10,NA,NA,NA,NA,NA,0,0.576947150158,0.209410994336,0.194,60,0.210845455243,0.576947150158,0.3938963027,0.1095,28
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,7,1,20,20,120,25.9301773455,25.9301773455,0.216084811212,0,120,0.216084811212,55.1892,alive,57,No,0.8,0.8,0.8,0.0,20,NA,NA,NA,NA,NA,0,0.587104643145,0.216089623461,0.1959,120,0.21063405491,0.587104643145,0.398869349028,0.1106,57
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,8,1,30,30,180,40.0962148003,40.0962148003,0.222756748891,0,180,0.222756748891,83.61,alive,88,No,0.8,0.8,0.8,0.0,30,NA,NA,NA,NA,NA,0,0.596432726544,0.222757150183,0.1982,180,0.207605910902,0.596432726544,0.402019318723,0.1135,88
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,9,1,40,40,240,55.051416895,55.051416895,0.229380903729,0,240,0.229380903729,112.3392,alive,120,No,0.8,0.8,0.8,0.0,40,NA,NA,NA,NA,NA,0,0.605411698708,0.229384670056,0.2005,240,0.207085338876,0.605411698708,0.406248518792,0.1159,120
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,10,1,50,50,300,70.7822985802,70.7822985802,0.235940995267,0,300,0.235940995267,141.339,alive,153,No,0.8,0.8,0.8,0.0,50,NA,NA,NA,NA,NA,0,0.614105543763,0.235942455346,0.2028,300,0.207416580552,0.614105543763,0.410761062157,0.1182,153
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,11,1,60,60,360,87.2713741603,87.2713741603,0.242420483779,0,360,0.242420483779,170.5824,alive,188,No,0.8,0.8,0.8,0.0,60,NA,NA,NA,NA,NA,0,0.622548394642,0.242419295541,0.205,360,0.20583530272,0.622548394642,0.414191848681,0.1209,188
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,12,1,70,70,420,104.497107537,104.497107537,0.248802636993,0,420,0.248802636993,200.0376,alive,223,No,0.8,0.8,0.8,0.0,70,NA,NA,NA,NA,NA,0,0.630736002148,0.248800244443,0.2071,420,0.206869653699,0.630736002148,0.418802827924,0.1229,223
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,13,1,80,80,480,122.43388789,122.43388789,0.255070599772,0,480,0.255070599772,229.68,alive,260,No,0.8,0.8,0.8,0.0,80,NA,NA,NA,NA,NA,0,0.638669764699,0.255070094838,0.209,480,0.206101915012,0.638669764699,0.422385839855,0.1254,260
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,14,1,90,90,540,141.052031825,141.052031825,0.261207466343,0,540,0.261207466343,259.4808,alive,298,No,0.8,0.8,0.8,0.0,90,NA,NA,NA,NA,NA,0,0.646336668569,0.261208434674,0.2108,540,0.205520342039,0.646336668569,0.425928505304,0.1277,298
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,15,1,100,100,600,160.317812805,160.317812805,0.267196354676,0,600,0.267196354676,289.41,alive,336,No,0.8,0.8,0.8,0.0,100,NA,NA,NA,NA,NA,0,0.653720561688,0.267192942249,0.2125,600,0.206308207764,0.653720561688,0.430014384726,0.1295,336
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,16,1,110,110,660,180.193518488,180.193518488,0.273020482557,0,660,0.273020482557,319.4532,alive,376,No,0.8,0.8,0.8,0.0,110,NA,NA,NA,NA,NA,0,0.660824063741,0.273016930048,0.2141,660,0.205588858885,0.660824063741,0.433206461313,0.1318,376
