pop_age,Comp_slope,num cols,colony_ID,colony_age,num ads,numjuvs,colony_food,dispersers,colAlive
5,0.1,257,88,0,1,4,0.247766496945121,0,alive
5,0.1,257,89,0,1,4,0.14048837126818786,0,alive
5,0.1,257,90,0,1,4,0.1855795711468525,0,alive
5,0.1,257,91,0,1,4,0.28067545180722936,0,alive
5,0.1,257,92,0,1,4,0.2882890709495125,0,alive
5,0.1,257,93,0,1,4,0.2153993097677306,0,alive
5,0.1,257,94,0,1,4,0.268727311558266,0,alive
5,0.1,257,95,0,1,4,0.23909338715269224,0,alive
5,0.1,257,96,0,1,4,0.1300571040333334,0,alive
5,0.1,257,97,0,1,4,0.10156415772031908,0,alive
5,0.1,257,98,0,1,4,0.231890626467074,0,alive
5,0.1,257,99,0,1,4,0.14505902763115072,0,alive
5,0.1,257,100,0,1,4,0.16846734105245478,0,alive
5,0.1,257,101,0,1,4,0.1173316495993002,0,alive
5,0.1,257,102,0,1,4,0.1657525290713956,0,alive
5,0.1,257,103,0,1,4,0.21627554897291734,0,alive
5,0.1,257,104,0,1,4,0.10729214296072141,0,alive
5,0.1,257,105,0,1,4,0.203499886427874,0,alive
5,0.1,257,106,0,1,4,0.2621109704703978,0,alive
5,0.1,257,107,0,1,4,0.16152394498427036,0,alive
5,0.1,257,108,0,1,4,0.24279431911598978,0,alive
5,0.1,257,109,0,1,4,0.26635724537699224,0,alive
5,0.1,257,110,0,1,4,0.23528943969035443,0,alive
5,0.1,257,111,0,1,4,0.10456757465087595,0,alive
5,0.1,257,112,0,1,4,0.20682856801652152,0,alive
5,0.1,257,113,0,1,4,0.11843512724392125,0,alive
5,0.1,257,114,0,1,4,0.29385534718243206,0,alive
5,0.1,257,115,0,1,4,0.148658942957009,0,alive
5,0.1,257,116,0,1,4,0.2556842546907724,0,alive
5,0.1,257,117,0,1,4,0.1638561111942769,0,alive
5,0.1,257,118,0,1,4,0.14974931228771138,0,alive
5,0.1,257,119,0,1,4,0.11744131227493482,0,alive
5,0.1,257,120,0,1,4,0.13455460497190386,0,alive
5,0.1,257,121,0,1,4,0.21580996576358613,0,alive
5,0.1,257,122,0,1,4,0.22026601254988357,0,alive
5,0.1,257,123,0,1,4,0.22656686254873093,0,alive
5,0.1,257,124,0,1,4,0.17391272407517844,0,alive
5,0.1,257,125,0,1,4,0.2544096056617544,0,alive
5,0.1,257,126,0,1,4,0.16146851782954094,0,alive
5,0.1,257,127,0,1,4,0.19335652998143604,0,alive
5,0.1,257,128,0,1,4,0.1271729475620954,0,alive
5,0.1,257,129,0,1,4,0.135906191562578,0,alive
5,0.1,257,130,0,1,4,0.11736304606208342,0,alive
5,0.1,257,131,0,1,4,0.24684880174187496,0,alive
5,0.1,257,132,0,1,4,0.16733370632684988,0,alive
5,0.1,257,133,0,1,4,0.22893325080923696,0,alive
5,0.1,257,134,0,1,4,0.17114832234383742,0,alive
5,0.1,257,135,0,1,4,0.23892643309631398,0,alive
5,0.1,257,136,0,1,4,0.14317288535282957,0,alive
5,0.1,257,137,0,1,4,0.21337296652056012,0,alive
5,0.1,257,138,0,1,4,0.1291871105465845,0,alive
5,0.1,257,139,0,1,4,0.28163312770199256,0,alive
5,0.1,257,140,0,1,4,0.15113294851633063,0,alive
5,0.1,257,141,0,1,4,0.22793202509940316,0,alive
5,0.1,257,142,0,1,4,0.26080634767384175,0,alive
5,0.1,257,143,0,1,4,0.2990562156656717,0,alive
5,0.1,257,144,0,1,4,0.21424114167559916,0,alive
5,0.1,257,145,0,1,4,0.14875984967295844,0,alive
5,0.1,257,146,0,1,4,0.18595787793977947,0,alive
5,0.1,257,147,0,1,4,0.23717852174351028,0,alive
5,0.1,257,148,0,1,4,0.22515173639938413,0,alive
5,0.1,257,149,0,1,4,0.13454504546239116,0,alive
5,0.1,257,150,0,1,4,0.10903334910955616,0,alive
5,0.1,257,151,0,1,4,0.14950448782514242,0,alive
5,0.1,257,152,0,1,4,0.11504670540146263,0,alive
5,0.1,257,153,0,1,4,0.25715963141362125,0,alive
5,0.1,257,154,0,1,4,0.10640680972420187,0,alive
5,0.1,257,155,0,1,4,0.24898005589033553,0,alive
5,0.1,257,156,0,1,4,0.20890080445790127,0,alive
5,0.1,257,157,0,1,4,0.28431939657553706,0,alive
5,0.1,257,158,0,1,4,0.19481728875598675,0,alive
5,0.1,257,159,0,1,4,0.13478799694631083,0,alive
5,0.1,257,160,0,1,4,0.10385075028260214,0,alive
5,0.1,257,161,0,1,4,0.22534869501137447,0,alive
5,0.1,257,162,0,1,4,0.16310699822875918,0,alive
5,0.1,257,163,0,1,4,0.17953212342482006,0,alive
5,0.1,257,164,0,1,4,0.1531688314788745,0,alive
5,0.1,257,165,0,1,4,0.14324048021260555,0,alive
5,0.1,257,166,0,1,4,0.17980245816753007,0,alive
5,0.1,257,167,0,1,4,0.2122503209405348,0,alive
5,0.1,257,168,0,1,4,0.19972444203402762,0,alive
5,0.1,257,169,0,1,4,0.13460755235568733,0,alive
5,0.1,257,170,0,1,4,0.2505026432746664,0,alive
5,0.1,257,171,0,1,4,0.2494971634210688,0,alive
5,0.1,257,172,0,1,4,0.18197060747503924,0,alive
5,0.1,257,173,0,1,4,0.2765561950972403,0,alive
5,0.1,257,174,0,1,4,0.2080438606078419,0,alive
5,0.1,257,175,0,1,4,0.15106361425153422,0,alive
5,0.1,257,176,0,1,4,0.2017470695904121,0,alive
5,0.1,257,177,0,1,4,0.1860761006696196,0,alive
5,0.1,257,178,0,1,4,0.19114007796699373,0,alive
5,0.1,257,179,0,1,4,0.12341379312420918,0,alive
5,0.1,257,180,0,1,4,0.24737414831271845,0,alive
5,0.1,257,181,0,1,4,0.28076543525345365,0,alive
5,0.1,257,182,0,1,4,0.24645114856336317,0,alive
5,0.1,257,183,0,1,4,0.28711115800409576,0,alive
5,0.1,257,184,0,1,4,0.2159836054720519,0,alive
5,0.1,257,185,0,1,4,0.18553932946890347,0,alive
5,0.1,257,186,0,1,4,0.18906505583144284,0,alive
5,0.1,257,187,0,1,4,0.21420760384916382,0,alive
5,0.1,257,188,0,1,4,0.23107733966428198,0,alive
5,0.1,257,189,0,1,4,0.2150846731248564,0,alive
5,0.1,257,190,0,1,4,0.13418404418892527,0,alive
5,0.1,257,191,0,1,4,0.20519298947588482,0,alive
5,0.1,257,192,0,1,4,0.10068464734584232,0,alive
5,0.1,257,193,0,1,4,0.13711137463431333,0,alive
5,0.1,257,194,0,1,4,0.25453074791890984,0,alive
5,0.1,257,195,0,1,4,0.26989271351105226,0,alive
5,0.1,257,196,0,1,4,0.23708731345575576,0,alive
5,0.1,257,197,0,1,4,0.20436141231202676,0,alive
5,0.1,257,198,0,1,4,0.2187105968452302,0,alive
5,0.1,257,199,0,1,4,0.26808765768263965,0,alive
5,0.1,257,200,0,1,4,0.29941384709114105,0,alive
5,0.1,257,201,0,1,4,0.25944603684709855,0,alive
5,0.1,257,202,0,1,4,0.14411985977161956,0,alive
5,0.1,257,203,0,1,4,0.1696230431878302,0,alive
5,0.1,257,204,0,1,4,0.10587383363602909,0,alive
5,0.1,257,205,0,1,4,0.27552315565356095,0,alive
5,0.1,257,206,0,1,4,0.21577049635747292,0,alive
5,0.1,257,207,0,1,4,0.2447756794943551,0,alive
5,0.1,257,208,0,1,4,0.2580037257797353,0,alive
5,0.1,257,209,0,1,4,0.17571535306881414,0,alive
5,0.1,257,210,0,1,4,0.21456327317923732,0,alive
5,0.1,257,211,0,1,4,0.29865426284596575,0,alive
5,0.1,257,212,0,1,4,0.12771165155219577,0,alive
5,0.1,257,213,0,1,4,0.18185345287651314,0,alive
5,0.1,257,214,0,1,4,0.234187146629947,0,alive
5,0.1,257,215,0,1,4,0.2392150897606522,0,alive
5,0.1,257,216,0,1,4,0.2583925034254464,0,alive
5,0.1,257,217,0,1,4,0.14556183006735357,0,alive
5,0.1,257,218,0,1,4,0.10960002095278319,0,alive
5,0.1,257,219,0,1,4,0.18061175058699197,0,alive
5,0.1,257,220,0,1,4,0.17047117179910143,0,alive
5,0.1,257,221,0,1,4,0.2149656972823038,0,alive
5,0.1,257,222,0,1,4,0.22605958294417114,0,alive
5,0.1,257,223,0,1,4,0.15835757606758433,0,alive
5,0.1,257,224,0,1,4,0.11272790659695953,0,alive
5,0.1,257,225,0,1,4,0.19600046672749982,0,alive
5,0.1,257,226,0,1,4,0.1506330315608974,0,alive
5,0.1,257,227,0,1,4,0.15214779771779882,0,alive
5,0.1,257,228,0,1,4,0.14864930296559112,0,alive
5,0.1,257,229,0,1,4,0.11968587869342867,0,alive
5,0.1,257,230,0,1,4,0.10574058813091172,0,alive
5,0.1,257,231,0,1,4,0.19016957242519603,0,alive
5,0.1,257,232,0,1,4,0.21250465769694057,0,alive
5,0.1,257,233,0,1,4,0.16872425226700632,0,alive
5,0.1,257,234,0,1,4,0.2981153457179997,0,alive
5,0.1,257,235,0,1,4,0.15813263124649932,0,alive
5,0.1,257,236,0,1,4,0.16506796426348383,0,alive
5,0.1,257,237,0,1,4,0.25131409596786924,0,alive
5,0.1,257,238,0,1,4,0.15175170774608,0,alive
5,0.1,257,239,0,1,4,0.2752403791683626,0,alive
5,0.1,257,240,0,1,4,0.251310319608597,0,alive
5,0.1,257,241,0,1,4,0.2891776124215597,0,alive
5,0.1,257,242,0,1,4,0.17023573743555256,0,alive
5,0.1,257,243,0,1,4,0.17942653396287572,0,alive
5,0.1,257,244,0,1,4,0.27568298179006695,0,alive
5,0.1,257,245,0,1,4,0.15527363593830867,0,alive
5,0.1,257,246,0,1,4,0.2219619001485581,0,alive
5,0.1,257,247,0,1,4,0.1124859737661494,0,alive
5,0.1,257,248,0,1,4,0.206831554155547,0,alive
5,0.1,257,249,0,1,4,0.1645609687537103,0,alive
5,0.1,257,250,0,1,4,0.19602275830506388,0,alive
5,0.1,257,251,0,1,4,0.25287205788357975,0,alive
5,0.1,257,252,0,1,4,0.1637101215560089,0,alive
5,0.1,257,253,0,1,4,0.20973383324340508,0,alive
5,0.1,257,254,0,1,4,0.2653083921048037,0,alive
5,0.1,257,255,0,1,4,0.26407510777819493,0,alive
5,0.1,257,256,0,1,4,0.20472641078804432,0,alive
5,0.1,257,257,0,1,4,0.10510292347251633,0,alive
